epoch,lr,train_loss,train_acc,val_loss,val_acc,val_recall0,val_recall1,val_f1_macro
1,0.0001,0.0842,0.5318,0.0889,0.5213,0.3034,0.7457,0.4985
2,0.0002,0.0815,0.5865,0.0901,0.5178,0.309,0.733,0.4968
3,0.0003,0.0804,0.5942,0.0907,0.5185,0.3103,0.733,0.4977
4,0.0004,0.0804,0.5985,0.0895,0.5255,0.3338,0.723,0.5084
5,0.0005,0.0795,0.6183,0.0889,0.5311,0.3324,0.7358,0.5128
6,0.0005,0.0791,0.6348,0.0891,0.5409,0.3393,0.7486,0.5225
7,0.0005,0.0789,0.6326,0.0887,0.536,0.3655,0.7116,0.523
8,0.000499,0.0785,0.632,0.0882,0.5444,0.3917,0.7017,0.5344
9,0.000498,0.0784,0.6328,0.0888,0.5451,0.3586,0.7372,0.5297
10,0.000496,0.0785,0.6312,0.0884,0.5472,0.4097,0.6889,0.5393
11,0.000495,0.078,0.636,0.0899,0.5374,0.3655,0.7145,0.5242
12,0.000492,0.0781,0.637,0.0884,0.5402,0.3945,0.6903,0.5311
13,0.000489,0.0778,0.6381,0.0882,0.543,0.4276,0.6619,0.5375
14,0.000486,0.0777,0.6413,0.0892,0.5542,0.3683,0.7457,0.5392
15,0.000482,0.0778,0.6429,0.0881,0.5626,0.4179,0.7116,0.5541
16,0.000478,0.0774,0.6356,0.0876,0.5535,0.4455,0.6648,0.5489
17,0.000474,0.0771,0.6417,0.0877,0.5682,0.4469,0.6932,0.5625
18,0.000469,0.0776,0.6391,0.0879,0.5612,0.4166,0.7102,0.5526
19,0.000464,0.0773,0.6358,0.0872,0.5703,0.4538,0.6903,0.5651
20,0.000458,0.0768,0.6419,0.0896,0.5465,0.3352,0.7642,0.5264
21,0.000452,0.0768,0.65,0.0885,0.5542,0.3903,0.723,0.5428
22,0.000446,0.077,0.6439,0.0873,0.5675,0.4966,0.6406,0.5658
23,0.000439,0.0768,0.6379,0.0871,0.5703,0.4621,0.6818,0.5659
24,0.000432,0.0766,0.6484,0.088,0.5675,0.4359,0.7031,0.5606
25,0.000425,0.0766,0.6423,0.0871,0.5759,0.4772,0.6776,0.5723
26,0.000417,0.0766,0.6403,0.0882,0.5675,0.4386,0.7003,0.5609
27,0.000409,0.0763,0.6463,0.0875,0.5801,0.48,0.6832,0.5765
28,0.000401,0.0761,0.6399,0.0884,0.5626,0.4138,0.7159,0.5535
29,0.000393,0.0762,0.6431,0.0873,0.5773,0.4828,0.6747,0.5741
30,0.000384,0.0762,0.6441,0.0883,0.5689,0.4124,0.7301,0.5589
31,0.000375,0.0761,0.648,0.0884,0.5689,0.4483,0.6932,0.5632
32,0.000366,0.0755,0.6484,0.0881,0.5696,0.4538,0.6889,0.5644
33,0.000356,0.0758,0.6538,0.0876,0.5745,0.491,0.6605,0.572
34,0.000347,0.0755,0.6447,0.0874,0.5829,0.4966,0.6719,0.5803
35,0.000337,0.0753,0.6488,0.0877,0.578,0.491,0.6676,0.5753
36,0.000327,0.0753,0.6528,0.0878,0.5815,0.491,0.6747,0.5786
37,0.000317,0.0757,0.6445,0.0887,0.5857,0.4828,0.6918,0.5819
38,0.000307,0.0753,0.6538,0.0887,0.5752,0.4455,0.7088,0.5687
39,0.000297,0.0753,0.6508,0.0898,0.5675,0.4083,0.7315,0.5571
40,0.000287,0.0749,0.6498,0.0882,0.5703,0.4579,0.6861,0.5655
41,0.000276,0.0751,0.6613,0.0877,0.571,0.4579,0.6875,0.5661
42,0.000266,0.0749,0.6546,0.0884,0.5766,0.4648,0.6918,0.5719
43,0.000255,0.075,0.6506,0.0887,0.5703,0.4372,0.7074,0.5633
44,0.000245,0.0747,0.6593,0.0883,0.5773,0.4676,0.6903,0.5728
45,0.000234,0.0752,0.6528,0.0885,0.578,0.4759,0.6832,0.5742
46,0.000224,0.0747,0.6546,0.0882,0.578,0.4841,0.6747,0.5748
47,0.000213,0.0744,0.6548,0.0898,0.5654,0.4317,0.7031,0.5583
48,0.000203,0.0741,0.6629,0.0887,0.571,0.4828,0.6619,0.5682
49,0.000193,0.0738,0.6544,0.0897,0.5752,0.4634,0.6903,0.5705
50,0.000183,0.0746,0.6601,0.0891,0.5654,0.4634,0.6705,0.5615
51,0.000173,0.0744,0.6597,0.0895,0.571,0.4386,0.7074,0.5641
52,0.000163,0.0742,0.6649,0.0899,0.5724,0.4345,0.7145,0.5649
53,0.000153,0.0739,0.6623,0.0885,0.5717,0.4938,0.652,0.5696
54,0.000144,0.074,0.6528,0.0895,0.5675,0.4593,0.679,0.563
